ticker,company_name,exchange,sector,industry,universe_reason
CTMX,CytomX Therapeutics Inc.,NASDAQ,Healthcare,Biotechnology,"Configured biotech optionality; partnership and pipeline repricing risk."
EOSE,Eos Energy Enterprises Inc.,NASDAQ,Industrials,Electrical Equipment,"Configured battery/storage manufacturing speculation; policy and liquidity risk."
FCEL,FuelCell Energy Inc.,NASDAQ,Industrials,Electrical Equipment,"Configured clean-energy equity; policy, backlog, and financing sensitivity."
FFIE,Faraday Future Intelligent Electric Inc.,NASDAQ,Consumer Cyclical,Auto Manufacturers,"Configured distressed EV speculation; survival and dilution risk."
FUBO,FuboTV Inc.,NYSE,Communication Services,Broadcasting,"Configured streaming/sports-media speculation; narrative and balance-sheet sensitivity."
GERN,Geron Corp,NASDAQ,Healthcare,Biotechnology,"Configured biotech commercialization equity; regulatory and launch-execution optionality."
GOSS,Gossamer Bio Inc.,NASDAQ,Healthcare,Biotechnology,"Configured biotech optionality; trial and partnership repricing potential."
GRAB,Grab Holdings Ltd.,NASDAQ,Technology,Software Application,"Configured low-priced platform equity; regional growth and sentiment sensitivity."
HIVE,HIVE Digital Technologies Ltd.,NASDAQ,Technology,Capital Markets,"Configured crypto-infrastructure equity; liquidity and risk-appetite sensitivity."
HITI,High Tide Inc.,NASDAQ,Healthcare,Pharmaceutical Retailers,"Configured cannabis retail speculation; policy and profitability repricing potential."
HUMA,Humacyte Inc.,NASDAQ,Healthcare,Biotechnology,"Configured biotech/medical-device optionality; regulatory and commercialization catalyst risk."
IDEX,Ideanomics Inc.,NASDAQ,Financial Services,Shell Companies,"Configured distressed speculative equity; financing, compliance, and survival risk."
INDI,indie Semiconductor Inc.,NASDAQ,Technology,Semiconductors,"Configured auto semiconductor equity; cycle recovery and design-win optionality."
INVZ,Innoviz Technologies Ltd.,NASDAQ,Consumer Cyclical,Auto Parts,"Configured lidar/ADAS speculation; OEM adoption and financing risk."
KULR,KULR Technology Group Inc.,NYSE American,Industrials,Electrical Equipment,"Configured battery-safety microcap; defense/space narrative optionality."
LAZR,Luminar Technologies Inc.,NASDAQ,Consumer Cyclical,Auto Parts,"Configured lidar speculation; auto-cycle and financing sensitivity."
LIDR,AEye Inc.,NASDAQ,Technology,Electronic Components,"Configured lidar microcap; survival and strategic optionality."
LUMN,Lumen Technologies Inc.,NYSE,Communication Services,Telecom Services,"Configured distressed telecom; debt, asset sales, and refinancing repricing potential."
MESA,Mesa Air Group Inc.,NASDAQ,Industrials,Airlines,"Configured distressed airline operator; contract and restructuring optionality."
MVIS,MicroVision Inc.,NASDAQ,Technology,Scientific & Technical Instruments,"Configured lidar/technology speculation; strategic and narrative optionality."
NKLA,Nikola Corp,NASDAQ,Industrials,Farm & Heavy Construction Machinery,"Configured distressed EV/hydrogen transport speculation; survival and dilution risk."
NNDM,Nano Dimension Ltd.,NASDAQ,Technology,Computer Hardware,"Configured cash-rich electronics manufacturing speculation; asset-value and strategic optionality."
OPEN,Opendoor Technologies Inc.,NASDAQ,Real Estate,Real Estate Services,"Configured housing-cycle speculation; rate sensitivity and sentiment reversal potential."
ORGN,Origin Materials Inc.,NASDAQ,Basic Materials,Chemicals,"Configured materials-tech speculation; commercialization and policy optionality."
PLUG,Plug Power Inc.,NASDAQ,Industrials,Electrical Equipment,"Configured hydrogen equity; policy, liquidity, and execution sensitivity."
POWW,AMMO Inc.,NASDAQ,Industrials,Aerospace & Defense,"Configured small defense/ammunition equity; demand-cycle and asset-value optionality."
PSNY,Polestar Automotive Holding UK PLC,NASDAQ,Consumer Cyclical,Auto Manufacturers,"Configured EV equity; financing, delivery, and narrative sensitivity."
REKR,Rekor Systems Inc.,NASDAQ,Technology,Software Infrastructure,"Configured public-safety AI/vehicle analytics microcap; contract optionality."
RGTI,Rigetti Computing Inc.,NASDAQ,Technology,Computer Hardware,"Configured quantum-computing speculation; narrative and funding-cycle sensitivity."
RKLB,Rocket Lab USA Inc.,NASDAQ,Industrials,Aerospace & Defense,"Configured space/aerospace equity; contract and launch cadence optionality."
SENS,Senseonics Holdings Inc.,NYSE American,Healthcare,Medical Devices,"Configured diabetes-device speculation; adoption and financing risk."
SOUN,SoundHound AI Inc.,NASDAQ,Technology,Software Application,"Configured AI voice equity; reflexive narrative and revenue-growth optionality."
SPCE,Virgin Galactic Holdings Inc.,NYSE,Industrials,Aerospace & Defense,"Configured space tourism speculation; financing and flight-cadence risk."
TELL,Tellurian Inc.,NYSE American,Energy,Oil & Gas Midstream,"Configured LNG speculation; project financing and commodity-cycle optionality."
TLRY,Tilray Brands Inc.,NASDAQ,Healthcare,Drug Manufacturers Specialty & Generic,"Configured cannabis equity; policy and consumer-demand optionality."
TRVG,trivago N.V.,NASDAQ,Communication Services,Internet Content & Information,"Configured travel advertising/platform equity; cycle and sentiment sensitivity."
VUZI,Vuzix Corp,NASDAQ,Technology,Consumer Electronics,"Configured AR hardware speculation; adoption and defense/enterprise narrative optionality."
WULF,TeraWulf Inc.,NASDAQ,Technology,Capital Markets,"Configured bitcoin-mining equity; power-cost and risk-appetite sensitivity."
XELA,Exela Technologies Inc.,NASDAQ,Technology,Information Technology Services,"Configured distressed processing/BPO equity; restructuring and dilution risk."
ZOM,Zomedica Corp,NYSE American,Healthcare,Diagnostics & Research,"Configured veterinary diagnostics speculation; cash runway and adoption optionality."
HUBC,HUB Cyber Security Ltd.,NASDAQ,Technology,Cybersecurity,"Verified business override: cybersecurity hardware/software and managed cyber services; sub-$5M/SPAC-reset risk should not be treated as clean long-term quality."
GBR,New Concept Energy Inc.,NYSE American,Real Estate,Real Estate Services,"Verified business override: primarily owns West Virginia real estate and provides management services for a third-party oil and gas operator; do not score as a true oil-and-gas producer."
